rok,miasto,nazwa,sentence,kategorie,tag
2020,GDYNIA,Zagospodarowanie Placu Górnośląskiego nasadzenia nowych rabat kwiatowych bylin i dużych drzew budowa parkowego oświetlenia oraz montaż przeciwsłonecznych pergoli.,zagospodarować nasadzić rabat kwiatowy bylina budowa parkowy montaż przeciwsłoneczny pergola,NATURA,ogród
2020,GDYNIA,Ogród dydaktyczny i szachy plenerowe na terenie Szkoły Podstawowej nr ,ogród dydaktyczny szachy,SPOŁECZEŃSTWO,skatepark
2020,GDYNIA,Nowy deptak w parku na zboczu Wzgórza Św. Maksymiliana,deptak park,NATURA,park
2020,GDYNIA,Ławka z zadaszeniem do karmienia i przewijania dzieci w pobliżu fontanny przy al. Jana Pawła II,ławka zadaszyć karmić przewijać dziecko fontanna,INFRASTRUKTURA,ławka
2020,GDYNIA,Gry i zabawy z mapą i kompasem   imprezy dla młodych starszych i najstarszych w dzielnicy Pustki Kijowskie i Demptowo,gra zabawa mapa kompas impreza młody starszy stary,SPOŁECZEŃSTWO,zabawa
2020,GDYNIA,Budowa sygnalizacji świetlnej i przejścia dla pieszych na skrzyżowaniu Wielkopolskiej i Spokojnej,budowa sygnalizacja świetlny przejść pieszy,INFRASTRUKTURA,sygnalizacja
2020,GDYNIA,Pilates  zajęcia ruchowe dla mieszkańców,zająć ruchowy mieszkaniec,SPOŁECZEŃSTWO,mieszkaniec
2020,GDYNIA,Nauka i doskonalenie pływania dla dzieci z klas  SP z terenu Witamina oraz organizacja XIV Mikołajkowy Zawodów Pływackich,nauka dziecko klasa organizacja,EDUKACJA,edukacja
2020,GDYNIA,Budowa systemu monitoringu na terenie wokół SP nr ,budowa system monitoring,INFRASTRUKTURA,monitoring
2020,GDYNIA,Chodnik na części ul. Rybaków,chodnik rybak,INFRASTRUKTURA,chodnik
2020,GDYNIA,Zajęcia terenowe nordic walking z instruktorem dla mieszkańców Małego Kaczka,zająć instruktor mieszkaniec,SPOŁECZEŃSTWO,mieszkaniec
2020,GDYNIA,Boisko przy ul. Kolendrowy  wymiana nawierzchni oraz montaż bramek i piłkochwytów,kolendrowy wymiana nawierzchnia montaż bramka,INFRASTRUKTURA,montaż
2020,GDYNIA,Dwie wycieczki jednodniowe dla seniorów,wycieczka jednodniowy senior,SPOŁECZEŃSTWO,senior
2020,GDYNIA,Cykl warsztatów z robotyki dla dzieci oraz zakup laptopa do nauki programowania w Bibliotece Dąbrowa,warsztat robotyk dziecko zakup laptop nauka programować,SPOŁECZEŃSTWO,komputerowy
2020,GDYNIA,Budowa boiska piłkarskiego ze sztuczną trawą przy Szkole Podstawowej  przy ul. Okrzei,budowa piłkarski sztuczny trawa,SPOŁECZEŃSTWO,piłkarski
2020,GDYNIA,Modernizacja ogólnodostępnego placu zabaw zlokalizowanego w dzielnicy Pogórze Górne w sąsiedztwie bloków przy ulicy Romanowskiego  i .,modernizacja plac zabawić zlokalizować,INFRASTRUKTURA,modernizacja
2020,GDYNIA,Zabawa z mapą  gra terenowa na orientację Witaminy,zabawa mapa gra orientacja,SPOŁECZEŃSTWO,zabawa
2020,GDYNIA,Zabawa z mapą  gra terenowa na orientację Orłowo,zabawa mapa gra orientacja,SPOŁECZEŃSTWO,zabawa
2020,GDYNIA,Spektakle edukacyjne oraz spotkania autorskie w bibliotece na Obłoku,spektakl edukacyjny spotkać autorski biblioteka,EDUKACJA,biblioteka
2020,GDYNIA,Adaptacja i modernizacja placu zabaw dla dzieci przy Przedszkolu nr  w Gdyni Karwiny,adaptacja modernizacja plac zabawić dziecko,INFRASTRUKTURA,modernizacja
2020,GDYNIA,Remont schodów wraz z budową kładki dla osób niepełnosprawnych prowadzących do lokali użytkowych w tym apteki i przychodni stomatologicznej przy ul. Żołnierzy I WP ,remont schody budowa kładka osoba niepełnosprawny prowadzić lokal użytkowy apteka przychodni stomatologiczny żołnierz,INFRASTRUKTURA,remont
2020,GDYNIA,Stworzenie specjalistycznych pracowni warsztatów rzemieślniczych manualnokonstruktorskich,stworzyć specjalistyczny pracownia warsztat rzemieślniczy manualnokonstruktorski,INFRASTRUKTURA,stworzyć
2020,GDYNIA,Remont boiska ul. W. Radnego międzypokoleniowy turniej sportowy warsztaty dla seniorów ruchowe malarskie z psychologiem kino plenerowe sąsiedzki piknik wyprzedaż garażowa,remont radny międzypokoleniowy turniej sport warsztaty senior ruchowy malarski psycholog piknik wyprzedaż garażowy,INFRASTRUKTURA,remont
2020,GDYNIA,Bezpłatne szkolenia z pierwszej pomocy dla mieszkańców Wzgórza św. Maksymiliana,bezpłatny szkolić pomoc mieszkaniec,SPOŁECZEŃSTWO,uczeń
2020,GDYNIA,Zajęcia korygujące wady postawy dla dzieci i młodzieży,zająć korygować wad postaw dziecko młodzież,SPOŁECZEŃSTWO,dziecko
2020,GDYNIA, pokazów filmowych,pokazówa filmowy,SPOŁECZEŃSTWO,film
2020,GDYNIA,Cotygodniowe ćwiczenia gimnastyczne dla każdego z przerwą wakacyjną,ćwiczenia gimnastyczny przerwa wakacyjny,SPOŁECZEŃSTWO,rekreacja
2020,GDYNIA,Rodzinne warsztaty kaligraficzne,rodzinny warsztaty kaligraficzny,SPOŁECZEŃSTWO,warsztaty
2020,GDYNIA,Nasadzenia kwiatów i innych kompozycji roślinnych przy ulicach Dedala Ikara Zielonej i Rybaków,nasadzić kwiat kompozycja roślinny,NATURA,kwiat
2020,GDYNIA,Remont podjazdów dla wózków na schodach prowadzących od ulicy Słowackiego do Piotra Skargi przez teren Szkoły Podstawowej nr ,remont podjazd wózek schody prowadzić,INFRASTRUKTURA,schody
2020,GDYNIA,Warsztaty teatralne oraz wokalne dla młodzieży i seniorów z dzielnicy Mały Kack,warsztaty teatralny wokalny młodzież senior,SPOŁECZEŃSTWO,teatr
2020,GDYNIA,Zabawa z mapą  gra terenowa na orientację Karwiny,zabawa mapa gra orientacja,SPOŁECZEŃSTWO,zabawa
2020,GDYNIA,Zabawa z mapą  gra terenowa na orientację Grabówek,zabawa mapa gra orientacja,SPOŁECZEŃSTWO,zabawa
2020,GDYNIA,Zagospodarowanie terenu zielonego przy parkingu na Polance Radcowskiej poprzez uporządkowanie terenu wykonanie paleniska postawienie ławek oraz koszy na śmieci,zagospodarować parking uporządkować postawić ławka kosz,INFRASTRUKTURA,parkingowy
2020,GDYNIA,Nauka języka hiszpańskiego dla początkujących,nauka język hiszpański początkujący,EDUKACJA,uczyć
2020,GDYNIA,Przebudowa placu zabaw przy ul. Szubińskiej wraz z dostosowaniem do potrzeb osób z niepełnosprawnościami.,przebudowa plac zabawić szubiński dostosować potrzeb osoba niepełnosprawność,SPOŁECZEŃSTWO,niepełnosprawny
2020,GDYNIA,Warsztaty animacje koncerty przy letniej czytelni Biblioteki Gdyńskiej na plaży,warsztaty animacja koncert czytelnia plażyć,SPOŁECZEŃSTWO,warsztaty
2020,GDYNIA,Rozbudowa skateparku pod estakadą Kwiatkowskiego,rozbudowa skatepark,SPOŁECZEŃSTWO,skatepark
2020,GDYNIA,Wyposażenie placu przy SO nr  przy ul. Hallera  w interaktywne edukacyjne urządzenia,wyposażyć plac interaktywny edukacyjny,EDUKACJA,edukacyjny
2020,GDYNIA,Budowa bieżni ze skocznią do skoku w dal i stanowiskiem do pchnięcia kulą  wraz z zagospodarowaniem terenu przy Szkole Podstawowej nr ,budowa bieżny skocznia skok dal kula zagospodarować,INFRASTRUKTURA,budowa
2020,GDYNIA,Szkoła dla rodziców  cykl warsztatów poszerzających kompetencje wychowawcze,rodzic warsztat poszerzać kompetencja wychowawczy,SPOŁECZEŃSTWO,wychowywać
2020,GDYNIA,Ławki z bali pni na trasach spacerowych w lasach i trasy rowerowe dla rowerów MX EURO obok parku rodzinnego przy ul. Spokojnej,ławka bać pień trasa spacerowy lasa tras rowerowy rower park rodzinny spokojny,NATURA,park
2020,GDYNIA,Modernizacja oraz wymiana nawierzchni na placu zabaw na Skwerze Ireny Kwiatkowski Obłuże,modernizacja wymiana nawierzchnia plac zabawić,INFRASTRUKTURA,modernizacja
2020,GDYNIA,Piknik rodzinny z SP Wiczlino z wymianą sąsiedzką rzeczy,piknik rodzinny wymiana,SPOŁECZEŃSTWO,piknik
2020,GDYNIA,Psi wybieg na Pustkach Cisowskich,psi wybieg,NATURA,wybieg
2020,GDYNIA,Stworzenie mieszkańcom Grabówka  tuż przy wejściu do lasu od ul. Demela  miejsca spotkań odpoczynku i rekreacji,stworzyć mieszkaniec tuż las spotkać odpoczynek rekreacja,SPOŁECZEŃSTWO,odpoczynek
2020,GDYNIA,Cykliczne warsztaty dla seniorów z dzielnicy Babie Doły rozwijające pamięć i koncentrację,warsztaty senior rozwijać pamięć koncentracja,SPOŁECZEŃSTWO,dorosły
2020,GDYNIA,Nowoczesne i estetyczne ławki dla ulicy Starodworcowej,nowoczesny estetyczny ławka,SPOŁECZEŃSTWO,nowoczesny
2020,GDYNIA,Ogród sensorycznorekreacyjny dla mieszkańców dzielnicy Pogórze przy ul. Porębskiego ,ogród sensorycznorekreacyjny mieszkaniec porębski,NATURA,ogród
2020,GDYNIA,Montaż tablicy informacji pasażerskiej na przystanku autobusowym Dąbrowa Centrum w kierunku centrum Gdyni,montaż tablica informacja pasażerski przystanek autobusowy,INFRASTRUKTURA,przystanek
2020,GDYNIA,Budowa nowoczesnego boiska piłkarskiego z syntetyczną trawą  na terenie po byłych ogródkach działkowych przy ul. II PS i Wielkołuckiej na Witominie,budowa nowoczesny piłkarski syntetyczny trawa ogródka działkowy,NATURA,trawnik
2020,GDYNIA,Oświetlenie i uspokojenie ruchu na ulicy Żaglowej na odcinku ,oświetlić uspokoić ruch,INFRASTRUKTURA,oświetlić
2020,GDYNIA,Gry i zabawy z mapą i kompasem  cykliczne zajęcia dla najmłodszych na Kamiennej Górze,gra zabawa mapa kompas zająć młody,SPOŁECZEŃSTWO,zabawić
2020,GDYNIA,Taniec towarzyski i zajęcia fitness na Pustkach CisowskichDemptowie,taniec towarzyski zająć fitness,SPOŁECZEŃSTWO,gimnastyczny
2020,GDYNIA,Cykliczne spotkania z grami planszowymi dla wszystkich mieszkańców Radiowa,spotkać gra planszowy mieszkaniec,INFRASTRUKTURA,spotkać
2020,GDYNIA,Park kieszonkowy przy ulicy Staffa obok SP uporządkowanie terenu pomiędzy przedszkolem  a ulicą Korzenną oraz nasadzenia róź i trzciniaków w pasie rozdziału ulicy Brzechwy,park kieszonkowy uporządkować nasadzić trzciniak pas rozdział,NATURA,park
2020,GDYNIA,Ustawienie dwóch tablic opisujących historię dzielnicy Leszczynki,ustawić tablica opisywać historia,INFRASTRUKTURA,tablica
2020,GDYNIA,Szkolenia dla mieszkańców Dąbrowy  pierwsza pomoc oraz taniec towarzyski,szkolić mieszkaniec pierwsza pomoc taniec towarzyski,SPOŁECZEŃSTWO,ćwiczyć
2020,GDYNIA,Dwie wycieczki jednodniowe poza Trójmiasto dla seniorów,wycieczka jednodniowy senior,SPOŁECZEŃSTWO,senior
2020,GDYNIA,Organizacja sześciu wyjść do placówek kultury dla seniorów z Cisowej,organizacja wyjść placówka kultura senior,EDUKACJA,kultura
2020,GDYNIA,Linaria i linowe place zabaw dla dzieci i młodzieży w wieku  lat w  dzielnicach ChwarznieWiczlinie Cisowej Obłoku Oksywiu Redłowie i Wielkim Karku,linowy plac zabawić dziecko młodzież wiek,SPOŁECZEŃSTWO,młodzież
2020,GDYNIA,Montaż ogólnodostępnego defibrylatora przy kościele pw. św. Antoniego  ul. Ujejskiego ,montaż defibrylator kościół ujejski,INFRASTRUKTURA,montaż
2020,GDYNIA,Kurs kaligrafii i odręcznego pisania dla dzieci i młodzieży,kurs kaligrafia odręczny pisać dziecko młodzież,SPOŁECZEŃSTWO,dziecko
2020,GDYNIA,Cotygodniowe zajęcia jogi dla kobiet i mam z dziećmi od lutego do grudnia  r. z przerwą wakacyjną,zająć joga kobieta mamić dziecko luty grudzień przerwa wakacyjny,SPOŁECZEŃSTWO,zająć
2020,GDYNIA,Język włoski i język hiszpański dla początkujących,język włoski język hiszpański początkujący,EDUKACJA,angielski
2020,GDYNIA,Nowy plac zabaw dla dzieci i młodzieży przy ul. Kornela Makuszyńskiego,plac zabawić dziecko młodzież,SPOŁECZEŃSTWO,dziecko
2020,GDYNIA,Strefa zabawy na terenie Szkoły Podstawowej nr  przy ul.Tatrzańskiej ,zabawa tatrzański,SPOŁECZEŃSTWO,zabawa
2020,GDYNIA,Remont drogi dojazdowej do budynku Żelazna  w Gdyni wraz z przeglądem kanalizacji oraz zainstalowaniem dodatkowej kratki  w jezdni na wody opadowe,remont drogi dojazdowy budynek przegląd kanalizacja zainstalować dodatkowy kratka jezdnia woda opadowy,INFRASTRUKTURA,przebudowa
2020,GDYNIA,Uzupełnienie zieleni miejskiej między ulicą Dedala  i  a koroną klifu.,zielony korona klif,NATURA,zielony
2020,GDYNIA,Przeprowadzenie cyklu zajęć sportowych z siatkówki dla młodzieży i dorosłych na różnych poziomach zaawansowania,przeprowadzić zająć sport siatkówka młodzież dorosły różny poziom,SPOŁECZEŃSTWO,siatkówka
2020,GDYNIA,Park kieszonkowy na placu po byłym baraku mieszkalnym przy ulicy Dedala,park kieszonkowy plac barak mieszkalny,NATURA,park
2020,GDYNIA,Język włoski i język hiszpański dla początkujących,język włoski język hiszpański początkujący,EDUKACJA,angielski
2020,GDYNIA,Oświetlenie chodnika między przedszkolem nr  a szkołą podstawową nr  i utworzenie parku edukacyjno  rekreacyjnego na terenie przedszkolnego lasku.,oświetlić chodnik utworzyć park rekreacyjny przedszkolny lasek,NATURA,park
2020,GDYNIA,Oświetlenie ciemnego przejścia łączącego polankę na końcu ulicy Kopernika plac do street workout i plac zabaw z ulicą Powstania Wielkopolskiego i poprawa oświetlenia na polanie.,oświetlić ciemny przejść łączyć polanka plac plac zabawić poprawa polan,INFRASTRUKTURA,oświetlić
2020,GDYNIA,Zielona wyspa na stawie przy skwerze ks. Piotra Mazura,zielony wyspa staw skwer,NATURA,zielony
2020,GDYNIA,Postawienie figur  ryb blokujących parkowanie i uspokajających ruch w okolicach szkolnych dróg,postawić figura ryba blokujący parkować uspokajający ruch szkolny,INFRASTRUKTURA,przystanek
2020,GDYNIA,Cykl zajęć zumba fitness dla każdego mieszkańca dzielnicy,zająć zumba fitness mieszkaniec,SPOŁECZEŃSTWO,gimnastyczny
2020,GDYNIA,Cykliczne zajęcia ruchowe  joga i fitness w Redłowie,zająć ruchowy joga fitness,SPOŁECZEŃSTWO,gimnastyczny
2020,GDYNIA,Cykliczne warsztaty dla seniorów z dzielnicy ChwarznoWiczlino rozwijające pamięć i koncentrację,warsztaty senior rozwijać pamięć koncentracja,SPOŁECZEŃSTWO,dorosły
2020,GDYNIA,Warsztaty projektowe dla mieszkańców oraz uporządkowanie terenów zielonych przy ulicy Olkuskiej,warsztaty projektowy mieszkaniec uporządkować zielony,NATURA,zielony
2020,GDYNIA,Instalacja przestrzenna na placu Kaszubskim Koralowce wychodzą z morza,instalacja przestrzenny plac wychodzić,INFRASTRUKTURA,instalacja
2020,GDYNIA,Montaż dwóch multimedialnych ławek solarnych na terenie skweru im. Ks. Piotra Mazura lub przy przystanku Dąbrowa Centrum ,montaż multimedialny ławka solarny skwer przystanek,INFRASTRUKTURA,przystankowy
2020,GDYNIA,Język angielski dla przedszkolaków,język angielski przedszkolak,EDUKACJA,angielski
2020,GDYNIA,Park pomiędzy ul. Morską a blokami przy Dreszera  i . Rozbudowa placu zabaw dla dzieci i młodzieży budowa nowych alejek  oświetlenia  uporządkowanie zieleni itp.,park morski rozbudowa plac zabawić dziecko młodzież budowa alejka uporządkować zielony,NATURA,ogród
2020,GDYNIA,Kurs rysunku i malarstwa z elementami historii sztuki na Pustkach CisowskichDemptowie,kurs rysunek historia sztuk,SPOŁECZEŃSTWO,sztuka
2020,GDYNIA,Rozbudowa parku przy ul. Spokojnej przy wejściu do lasu  teren rekreacji oraz bieżnia i skocznia przy SP   wymiana nawierzchni na poliuretanową,rozbudowa park spokojny las rekreacja bieżnia skocznia wymiana nawierzchnia poliuretanowy,NATURA,park
2020,GDYNIA,Rodzinne warsztaty budowy domków dla zwierząt,rodzinny warsztaty budowa zwierzę,NATURA,zwierzę
2020,GDYNIA,Joga  zajęcia ruchowe dla mieszkańców,joga zająć ruchowy mieszkaniec,EDUKACJA,joga
2020,GDYNIA,Cykl zajęć gimnastycznych dla seniorów,zająć gimnastyczny senior,SPOŁECZEŃSTWO,gimnastyczny
2020,GDYNIA,Zajęcia kulturalnoedukacyjne w oksywskiej bibliotece,zająć kulturalnoedukacyjny oksywski biblioteka,SPOŁECZEŃSTWO,kulturalny
2020,GDYNIA,Zabawa z mapą  gra terenowa na orientację Wielki Kack,zabawa mapa gra orientacja,SPOŁECZEŃSTWO,zabawa
2020,GDYNIA,Warsztaty kreatywnoedukacyjne w bibliotece na Obłoku,warsztaty kreatywnoedukacyjny biblioteka,EDUKACJA,biblioteka
2020,GDYNIA,Zasadzenie krzewów ozdobnych i kwiatów wzdłuż ulicy Chyrowej oraz ogród deszczowy w pobliżu ulic Sępia PawiaPusta,zasadzić krzew ozdobny kwiat ogród deszczowy,NATURA,ogród
2020,GDYNIA,Działania na rzecz zachowania zieleni wysokiej w mieście,zachować zielony wysoki,NATURA,zielony
2020,GDYNIA,Rodzinny festyn z okazji Dnia Dziecka przy Szkole Podstawowej nr ,rodzinny festyn okazja,SPOŁECZEŃSTWO,rodzinny
2020,GDYNIA,Koncert Niepodległościowy .. Kościół pw. Św. Antoniego z Padwy Franciszkanie w Gdyni,koncert kościół,SPOŁECZEŃSTWO,koncert
2020,GDYNIA,Ogród deszczowy przy ul. Św Mikołaja,ogród deszczowy,NATURA,ogród
2020,GDYNIA,Ustawienie lustra drogowego na pasie zieleni rozdzielającym jezdnie ul. Władysława IV,ustawić pas zielony rozdzielać jezdnia,NATURA,zielony
2020,GDYNIA,Modernizacja placu zabaw przy ul.Płk Dąbka  wraz z  modernizacją ciągów pieszych i budową  miejsc parkingowych dla osób niepełnosprawnych przy placu zabaw  oraz przy Przedszkolu,modernizacja plac zabawić pułkownik modernizacja pieszy budowa parkingowy osoba niepełnosprawny plac zabawić,INFRASTRUKTURA,modernizacja
2020,GDYNIA,Montaż automatycznego zewnętrznego defibrylatora ED oraz szkolenia z zakresu resuscytacji krążeniowooddechowej z wykorzystaniem ED dla  mieszkańców dzielnicy.,montaż automatyczny defibrylator szkolić resuscytacja krążeniowooddechowy wykorzystać mieszkaniec,INFRASTRUKTURA,instalacja
2020,GDYNIA,Warsztaty wspierania procesu edukacji dzieci dla rodziców,warsztaty wspierać proces edukacja dziecko rodzic,EDUKACJA,uczyć
2020,GDYNIA,Zajęcia sportowe np. dla uczniów pilates zumba ćwiczenia na świeżym powietrzu i spotkania z ekspertami z zakresu zdrowia i aktywności fizycznej dla mieszkańców w każdym wieku,zająć sport uczeń zumba ćwiczenia świeży spotkać ekspert aktywność fizyczny mieszkaniec wiek,SPOŁECZEŃSTWO,ćwiczyć
