rok,miasto,nazwa,kategorie
2020,GDYNIA,Linaria i linowe place zabaw dla dzieci i młodzieży w wieku  lat w  dzielnicach ChwarznieWiczlinie Cisowej Obłoku Oksywiu Redłowie i Wielkim Karku,SPOŁECZEŃSTWO
2020,GDYNIA,Montaż ogólnodostępnego defibrylatora przy kościele pw. św. Antoniego  ul. Ujejskiego ,INFRASTRUKTURA
2020,GDYNIA,Kurs kaligrafii i odręcznego pisania dla dzieci i młodzieży,EDUKACJA
2020,GDYNIA,Cotygodniowe zajęcia jogi dla kobiet i mam z dziećmi od lutego do grudnia  r. z przerwą wakacyjną,EDUKACJA
2020,GDYNIA,Język włoski i język hiszpański dla początkujących,EDUKACJA
2020,GDYNIA,Nowy plac zabaw dla dzieci i młodzieży przy ul. Kornela Makuszyńskiego,SPOŁECZEŃSTWO
2020,GDYNIA,Strefa zabawy na terenie Szkoły Podstawowej nr  przy ul.Tatrzańskiej ,SPOŁECZEŃSTWO
2020,GDYNIA,Remont drogi dojazdowej do budynku Żelazna  w Gdyni wraz z przeglądem kanalizacji oraz zainstalowaniem dodatkowej kratki  w jezdni na wody opadowe,INFRASTRUKTURA
2020,GDYNIA,Uzupełnienie zieleni miejskiej między ulicą Dedala  i  a koroną klifu.,NATURA
2020,GDYNIA,Przeprowadzenie cyklu zajęć sportowych z siatkówki dla młodzieży i dorosłych na różnych poziomach zaawansowania,SPOŁECZEŃSTWO
2020,GDYNIA,Park kieszonkowy na placu po byłym baraku mieszkalnym przy ulicy Dedala,NATURA
2020,GDYNIA,Język włoski i język hiszpański dla początkujących,EDUKACJA
2020,GDYNIA,Oświetlenie chodnika między przedszkolem nr  a szkołą podstawową nr  i utworzenie parku edukacyjno  rekreacyjnego na terenie przedszkolnego lasku.,SPOŁECZEŃSTWO
2020,GDYNIA,Oświetlenie ciemnego przejścia łączącego polankę na końcu ulicy Kopernika plac do street workout i plac zabaw z ulicą Powstania Wielkopolskiego i poprawa oświetlenia na polanie.,INFRASTRUKTURA
2020,GDYNIA,Zielona wyspa na stawie przy skwerze ks. Piotra Mazura,NATURA
2020,GDYNIA,Postawienie figur  ryb blokujących parkowanie i uspokajających ruch w okolicach szkolnych dróg,NATURA
2020,GDYNIA,Cykl zajęć zumba fitness dla każdego mieszkańca dzielnicy,SPOŁECZEŃSTWO
2020,GDYNIA,Cykliczne zajęcia ruchowe  joga i fitness w Redłowie,SPOŁECZEŃSTWO
2020,GDYNIA,Cykliczne warsztaty dla seniorów z dzielnicy ChwarznoWiczlino rozwijające pamięć i koncentrację,EDUKACJA
2020,GDYNIA,Warsztaty projektowe dla mieszkańców oraz uporządkowanie terenów zielonych przy ulicy Olkuskiej,NATURA
2020,GDYNIA,Instalacja przestrzenna na placu Kaszubskim Koralowce wychodzą z morza,INFRASTRUKTURA
2020,GDYNIA,Montaż dwóch multimedialnych ławek solarnych na terenie skweru im. Ks. Piotra Mazura lub przy przystanku Dąbrowa Centrum ,INFRASTRUKTURA
2020,GDYNIA,Język angielski dla przedszkolaków,EDUKACJA
2020,GDYNIA,Park pomiędzy ul. Morską a blokami przy Dreszera  i . Rozbudowa placu zabaw dla dzieci i młodzieży budowa nowych alejek  oświetlenia  uporządkowanie zieleni itp.,SPOŁECZEŃSTWO
2020,GDYNIA,Kurs rysunku i malarstwa z elementami historii sztuki na Pustkach CisowskichDemptowie,EDUKACJA
2020,GDYNIA,Rozbudowa parku przy ul. Spokojnej przy wejściu do lasu  teren rekreacji oraz bieżnia i skocznia przy SP   wymiana nawierzchni na poliuretanową,NATURA
2020,GDYNIA,Rodzinne warsztaty budowy domków dla zwierząt,EDUKACJA
2020,GDYNIA,Joga  zajęcia ruchowe dla mieszkańców,SPOŁECZEŃSTWO
2020,GDYNIA,Cykl zajęć gimnastycznych dla seniorów,SPOŁECZEŃSTWO
2020,GDYNIA,Zajęcia kulturalnoedukacyjne w oksywskiej bibliotece,EDUKACJA
2020,GDYNIA,Zabawa z mapą  gra terenowa na orientację Wielki Kack,SPOŁECZEŃSTWO
2020,GDYNIA,Warsztaty kreatywnoedukacyjne w bibliotece na Obłoku,EDUKACJA
2020,GDYNIA,Zasadzenie krzewów ozdobnych i kwiatów wzdłuż ulicy Chyrowej oraz ogród deszczowy w pobliżu ulic Sępia PawiaPusta,NATURA
2020,GDYNIA,Działania na rzecz zachowania zieleni wysokiej w mieście,NATURA
2020,GDYNIA,Rodzinny festyn z okazji Dnia Dziecka przy Szkole Podstawowej nr ,SPOŁECZEŃSTWO
2020,GDYNIA,Koncert Niepodległościowy .. Kościół pw. Św. Antoniego z Padwy Franciszkanie w Gdyni,EDUKACJA
2020,GDYNIA,Ogród deszczowy przy ul. Św Mikołaja,NATURA
2020,GDYNIA,Ustawienie lustra drogowego na pasie zieleni rozdzielającym jezdnie ul. Władysława IV,NATURA
2020,GDYNIA,Modernizacja placu zabaw przy ul.Płk Dąbka  wraz z  modernizacją ciągów pieszych i budową  miejsc parkingowych dla osób niepełnosprawnych przy placu zabaw  oraz przy Przedszkolu,INFRASTRUKTURA
2020,GDYNIA,Montaż automatycznego zewnętrznego defibrylatora ED oraz szkolenia z zakresu resuscytacji krążeniowooddechowej z wykorzystaniem ED dla  mieszkańców dzielnicy.,INFRASTRUKTURA
2020,GDYNIA,Warsztaty wspierania procesu edukacji dzieci dla rodziców,EDUKACJA
2020,GDYNIA,Zajęcia sportowe np. dla uczniów pilates zumba ćwiczenia na świeżym powietrzu i spotkania z ekspertami z zakresu zdrowia i aktywności fizycznej dla mieszkańców w każdym wieku,SPOŁECZEŃSTWO
2020,GDYNIA,Cotygodniowe zajęcia sportowe np. tai chi zdrowy kręgosłup dla dorosłych mieszkańców dzielnicy od lutego do grudnia  r. z przerwą wakacyjną,SPOŁECZEŃSTWO
2020,GDYNIA,Manewry ratownicze dla młodzieży z symulacjami wypadków przy udziale profesjonalnych służb ratowniczych,SPOŁECZEŃSTWO
2020,GDYNIA,Zabawa z mapą  gra terenowa na orientację Pustki Kijowskie  Demptowo,SPOŁECZEŃSTWO
2020,GDYNIA,Chodnik łączący Wiczlino Ogród z ul. Wiczliński,INFRASTRUKTURA
2020,GDYNIA,Modernizacja ogólnodostępnego placu zabaw przy Przedszkolu nr  na ul. Biskupa Dominika ,SPOŁECZEŃSTWO
2020,GDYNIA,Kurs samoobrony dla kobiet mężczyzn i młodzieży w plenerze. Zajęcia przy ul. Racławickiej a i Strzelców siłownia i Spokojnej boisko,SPOŁECZEŃSTWO
2020,GDYNIA,Organizacja sześciu szkoleń z pierwszej pomocy oraz pikników sportowych dla mieszkańców dzielnicy,SPOŁECZEŃSTWO
2020,GDYNIA,Zajęcia sportowo  rekreacyjne dla seniorów,SPOŁECZEŃSTWO
2020,GDYNIA,Plac zabaw dla dzieci przy skwerze ks. Piotra Mazura,SPOŁECZEŃSTWO
2020,GDYNIA,Poprawa bezpieczeństwa poprzez stworzenie przejścia dla pieszych na trasie Płyta Redłowska  Kościół przy skrzyżowaniu ul. Radcowskiej z ul. Kopernika.,INFRASTRUKTURA
2020,GDYNIA,Cotygodniowe zajęcia ruchowe poprawiające prawidłowe funkcjonowanie kręgosłupa i innych stawów dla każdego z przerwą wakacyjną,SPOŁECZEŃSTWO
2020,GDYNIA,Cotygodniowe zajęcia ruchowe poprawiające prawidłowe funkcjonowanie kręgosłupa i innych stawów dla każdego z przerwą wakacyjną,SPOŁECZEŃSTWO
2020,GDYNIA,Cykl pokazów filmowych w plenerze pod gwiazdami,SPOŁECZEŃSTWO
2020,GDYNIA,Łąki kwietne na trawnikach przy ul. Zakręt do Oksywia oraz ul. Opata Haskiego   róg z ul.Dantyszka,NATURA
2020,GDYNIA,Treningi siłowe i cardio oraz zumba dla każdego mieszkańca dzielnicy,SPOŁECZEŃSTWO
2020,GDYNIA,Cykliczne zajęcia Nordic Walking,INFRASTRUKTURA
2020,GDYNIA,Cykl pokazów filmowych w plenerze,SPOŁECZEŃSTWO
2020,GDYNIA, ogólnodostępnych defibrylatorów ED  montaż oraz przeszkolenie  mieszkańców dzielnicy,INFRASTRUKTURA
2020,GDYNIA,Cykliczne zajęcia ruchowe  Samoobrona dla kobiet,SPOŁECZEŃSTWO
2020,GDYNIA,Boisko rolkowowrotkarskie do nauki jazdy na rolkach i wrotkach gry w hokeja na rolkach unihokeja na boisku przy Szkole Podstawowej nr ,EDUKACJA
2020,GDYNIA,Cykliczne zajęcia dla dzieci i rodziców zajęcia ogólnorozwojowe dla dzieci w wieku msc oraz  warsztaty chustonoszenia,SPOŁECZEŃSTWO
2020,GDYNIA,Zajęcia rekreacyjnoruchowe dla dzieci w dwóch grupach wiekowych w okresie jesiennozimowym.,SPOŁECZEŃSTWO
2020,GDYNIA,Defibrylatory ED w gdyńskiej komunikacji miejskiej,INFRASTRUKTURA
2020,GDYNIA,Warsztaty wspomagające koncentrację pamięć i proces skutecznego uczenia się dla dzieci,EDUKACJA
2020,GDYNIA,Wyjazd integracyjny do lasu dla zabawy i nauki,EDUKACJA
2020,GDYNIA,Zabawa z mapą  gra terenowa na orientację Mały Kack,SPOŁECZEŃSTWO
2020,GDYNIA,Organizacja imprezy biegowej dla dzieci i młodzieży,SPOŁECZEŃSTWO
2020,GDYNIA,Szkolenie dla mieszkańców z zakresu dostępu do informacji publicznej i działań kontrolujących władzę na poziomie lokalnym działania typu watchdog,SPOŁECZEŃSTWO
2020,GDYNIA,Montaż elementów uspokojenia ruchu samochodowego na skrzyżowaniu ul. Bojowej z ul. Słonecznikowy w celu poprawy bezpieczeństwa pieszych,INFRASTRUKTURA
2020,GDYNIA,Akcja społeczno  edukacyjna skierowana do mieszkańców Grabówka mająca na celu zachęcenie właścicieli psów do  sprzątania po swoich czworonogich,EDUKACJA
2020,GDYNIA,Miasteczko ruchu drogowego przy Szkole Podstawowej nr  w Gdyni ul.Halicka ,NATURA
2020,GDYNIA,Nowoczesne i estetyczne ławki wzdłuż ulicy Nałkowskiej,EDUKACJA
2020,GDYNIA,Nowoczesne i estetyczne ławki dla ulicy Górniczej,EDUKACJA
2020,GDYNIA,Cykliczne warsztaty dla seniorów z dzielnicy Pogórze rozwijające pamięć i koncentrację,EDUKACJA
2020,GDYNIA,Cykliczne warsztaty dla seniorów z dzielnicy Oksywie rozwijające pamięć i koncentrację,EDUKACJA
2020,GDYNIA,Kino plenerowe na Chyloni  projekcja czterech filmów w Parku Kilońskim,EDUKACJA
2020,GDYNIA,Doposażenie placu zabaw dla dzieci młodszych i starszych przy ul. Komandorskiej,SPOŁECZEŃSTWO
2020,GDYNIA,Gry i zabawy z mapą i kompasem   imprezy dla młodych starszych i najstarszych w dzielnicy Chwalono  Wiczlino,SPOŁECZEŃSTWO
2020,GDYNIA,Gry i zabawy z mapą i kompasem  cykliczne zajęcia dla najmłodszych na Dąbrowie,SPOŁECZEŃSTWO
2020,GDYNIA,Spotkania podróżnicze spacery i spotkania dotyczące Gdyni oraz dzielnicy Wzgórze Św. Maksymiliana w Bibliotece Wiedzy,INFRASTRUKTURA
2020,GDYNIA,Zasadzenie szpaleru drzew wzdłuż ulicy Boisko,NATURA
2020,GDYNIA,Letnie plenerowe kino w Redłowie  projekcja trzech filmów w dwóch terminach,EDUKACJA
2020,GDYNIA,Łąki kwietne w Redłowie  estetyzacja podwórek w obrębie ulic Powstania Wielkopolskiego Powstania Śląskiego,NATURA
2020,GDYNIA,Sobotnie zajęcia sportowe na świeżym powietrzu,SPOŁECZEŃSTWO
2020,GDYNIA,Plac zabaw przy szkole SP ,SPOŁECZEŃSTWO
2020,GDYNIA,Festyn dzielnicowy patrona Szkoły Podstawowej nr  wraz z paradą święta ulicy Chylońskiej,NATURA
2020,GDYNIA,Park kieszonkowy  ul. Harcerska,NATURA
2020,GDYNIA,Ochrona powietrza  pakiet działań na rzecz poprawy jakości życia w Gdyni m.in. wymiana pieców samochodowy analizator spalin,NATURA
2020,GDYNIA,Montaż automatycznego zewnętrznego defibrylatora ED oraz szkolenia z zakresu resuscytacji krążeniowooddechowej z wykorzystaniem ED dla  mieszkańców dzielnicy,INFRASTRUKTURA
2020,GDYNIA,Kino plenerowe w Małym Karku  projekcja  filmów na świeżym powietrzu,EDUKACJA
2020,GDYNIA,Rodzinne warsztaty budowy domków dla małych zwierząt,EDUKACJA
2020,GDYNIA, imprezy na orientację dla mieszkańców dzielnicy Leszczynki,SPOŁECZEŃSTWO
2020,GDYNIA,Śladami obiektów historyczno  militarnych i walorów przyrodniczych Radiowa. Spotkania panele dyskusyjne konkursy pokazy oraz wycieczka szlakiem historycznoturystycznym.,EDUKACJA
2020,GDYNIA,Zabawa z mapą  gra terenowa na orientację ChwarznoWiczlino,SPOŁECZEŃSTWO
2020,GDYNIA,Strzelców luminarium trampoliny i plac zabaw oraz montaż radarowych wyświetlaczy prędkości znaków ławek koszy i dystrybutorów woreczków dla psów,INFRASTRUKTURA
2020,GDYNIA,"Budowa siłowni zewnętrznej przy ul. mjr. H. Sucharskiego 
Teren Szkoły Podstawowej nr ",SPOŁECZEŃSTWO
2020,GDYNIA,Cykl spotkań dla dzieci dorosłych i seniorów w Bibliotece Wzgórze.,SPOŁECZEŃSTWO
2020,GDYNIA,Cykliczne warsztaty dla seniorów z dzielnicy Śródmieście rozwijające pamięć i koncentrację,EDUKACJA
2020,GDYNIA,Zajęcia artystycznomuzyczne edukacyjne i rekreacyjne w bibliotece Pogórze,EDUKACJA
2020,GDYNIA,Cykliczne warsztaty dla seniorów z dzielnicy Dąbrowa rozwijające pamięć i koncentrację,EDUKACJA
2020,GDYNIA,Montaż lustra drogowego przy Swarzewskiej   wyjazd z parkingu  strefa  kmh,INFRASTRUKTURA
2020,GDYNIA,Ławki w różnych punktach dzielnicy Pustki CisowskieDemptowo,INFRASTRUKTURA
