token,occurrence,emotion
plastikowymi,2,[]
piłkarskiego,2,[]
piękną,2,[]
pięknych,2,[]
piotrowska,2,[]
pilotażowy,2,[]
pieszych,2,[]
pieszorowerowego,2,[]
pieszego,2,[]
piesza,2,[]
pierwszą,2,[]
pieczerskiej,2,[]
pełnej,2,"['radość;smutek;' 'radość;smutek;' 'radość;zaufanie;smutek;złość;wstręt;'
 'radość;złość;']"
pestalozziego,2,[]
parkujące,2,[]
parkowy,2,[]
parkowego,2,[]
parkingowych,2,[]
ozdobnymi,2,[]
osiedlowe,2,[]
osiedlowa,2,[]
oruńskim,2,[]
orunia,2,[]
ornitologiczne,2,[]
optymalnych,2,[]
opolskiej,2,[]
olsztyński,2,[]
olszowe,2,[]
okulickiego,2,[]
ogólnodostępna,2,[]
ogrodzonego,2,[]
ogrodowy,2,[]
oddzielające,2,[]
oddechowych,2,[]
oczyszczających,2,[]
ochronna,2,[]
ochlaakacjowa,2,[]
obywatelskim,2,[]
obejmująca,2,[]
obecnym,2,['radość;zaufanie;smutek;strach;wstręt;']
nożnej,2,[]
nowosolna,2,[]
nowoczesny,2,[]
nowoczesnego,2,[]
niezbędne,2,[]
niemały,2,['zaufanie;' 'radość;wstręt;']
niedzielne,2,[]
nieczujaostrowskiego,2,[]
naturalnych,2,['zaufanie;radość;smutek' 'zaufanie;radość;smutek']
naturalnego,2,['zaufanie;radość;smutek' 'zaufanie;radość;smutek']
nastepujacych,2,[]
narzutowe,2,[]
narodowej,2,[]
najmniejszych,2,['radość;smutek;złość;' 'radość;wstręt;' 'wstręt;']
nadwiślańska,2,[]
nadbrzeżna,2,[]
muzyczne,2,[]
muzealna,2,[]
morskiego,2,[]
montwilłamireckiego,2,[]
mobilna,2,[]
międzyosiedlowych,2,[]
miododajnymi,2,[]
miododajnych,2,[]
miododajne,2,[]
mieszkaniowy,2,[]
mielnickiej,2,[]
merdajacych,2,[]
małe,2,['radość;smutek;złość;' 'radość;wstręt;' 'wstręt;']
maszynowej,2,[]
malinowym,2,[]
malarski,2,[]
magicznym,2,[]
magiczne,2,[]
lwowskich,2,[]
lubuskiej,2,[]
lotniczy,2,[]
lotnicze,2,[]
lokalnej,2,[]
litewską,2,[]
lipowy,2,[]
linearnym,2,[]
leśnych,2,[]
letnich,2,[]
lesny,2,[]
legnickiej,2,[]
leczniczorekreacyjnego,2,[]
leczniczej,2,[]
latające,2,"['radość;cieszenie się na coś oczekiwanego;smutek;złość;'
 'radość;cieszenie się na coś oczekiwanego;złość;wstręt;'
 'radość;złość;wstręt;' 'radość;cieszenie się na coś oczekiwanego;wstręt;'
 'radość;smutek;złość;' 'radość;cieszenie się na coś oczekiwanego;złość;'
 'radość;strach;' 'radość;złość;wstręt;']"
kwitnącawiosenna,2,[]
kwietny,2,[]
kwiatowej,2,[]
kwiatowa,2,[]
kwiatkowskiego,2,[]
kujawska,2,[]
krzemowej,2,[]
kreatywny,2,[]
krasińskiego,2,[]
kowieńską,2,[]
kowalski,2,[]
koszalińskiej,2,[]
kostuchna,2,[]
kontrolnych,2,[]
kontrolny,2,[]
konnych,2,[]
komunalnych,2,[]
kompleksowy,2,[]
kolejowa,2,[]
kolejnym,2,[]
kolarski,2,[]
kocich,2,[]
kochanowskiego,2,[]
kieszeniowy,2,[]
kazimierzowskiej,2,[]
kazde,2,[]
katedralna,2,[]
kasztanowe,2,[]
kartuska,2,[]
karmiących,2,[]
kamionkowskim,2,[]
kamienieckiego,2,[]
jurajski,2,[]
julianówmarysinrogi,2,[]
jednorodzinnymi,2,[]
jednej,2,[]
jednego,2,[]
jeden,2,[]
jasny,2,['złość;radość' 'złość;radość']
japońskiego,2,[]
jagiellońskiej,2,[]
jagiellońska,2,[]
jadwigi,2,[]
interaktywne,2,[]
inteligentna,2,[]
integracyjne,2,[]
innymi,2,[]
informacyjne,2,[]
informacyjna,2,[]
igiełkowe,2,[]
iata,2,[]
historycznym,2,[]
harcerskiego,2,[]
harcerska,2,[]
handlowym,2,[]
głównym,2,[]
górnym,2,[]
górne,2,[]
grzegórzecki,2,[]
grochowskiej,2,[]
grochowskiego,2,[]
granitowej,2,[]
grabowo,2,[]
grabińskim,2,[]
gołdapski,2,[]
gejowskie,2,[]
gdański,2,[]
garażowa,2,[]
fordońskich,2,[]
filmowych,2,[]
fajne,2,[]
europejskich,2,[]
estetycznych,2,[]
elektryczny,2,[]
elektryczna,2,[]
ekologicznokreatywne,2,[]
edukacyjnoruchowych,2,[]
długim,2,[]
dzikiego,2,"['złość;radość;smutek;strach' 'złość;radość;smutek;strach' 'złość;radość'
 'złość;radość' 'złość;radość;strach' 'złość;radość;strach'
 'radość;smutek' 'radość;smutek']"
dziesiąta,2,[]
działkowymi,2,[]
dygasińskiego,2,[]
dworska,2,[]
drugie,2,[]
dotychczasowych,2,[]
dostępnymi,2,[]
dostępny,2,[]
doroslych,2,[]
dolnej,2,[]
dojazdowej,2,[]
dodatkowych,2,[]
dodatkowa,2,[]
dk,2,[]
deszczowych,2,[]
dendrologicznym,2,[]
dendrologiczna,2,[]
dembowskiego,2,[]
dawny,2,[]
darmowy,2,[]
dantyszka,2,[]
dalszej,2,"['złość;radość;smutek' 'radość;złość;' 'radość;smutek'
 'radość;zaufanie;smutek;złość;']"
dajtki,2,[]
częstochowską,2,[]
czystym,2,[]
czysta,2,[]
czwarty,2,[]
czestochowy,2,[]
czestochowa,2,[]
czarodziejski,2,[]
czarna,2,[]
cukrowej,2,['złość;radość;wstręt' 'złość;radość']
cudowny,2,[]
cisowa,2,[]
ciepla,2,[]
chyrowej,2,[]
chruściela,2,[]
ceramiczna,2,[]
centralny,2,[]
cała,2,"['radość;smutek' 'złość;cieszenie się na;radość' 'radość;smutek;'
 'radość;smutek;złość;strach;']"
bytujących,2,[]
bytomiu,2,[]
bydgoskiego,2,[]
bydgoskie,2,[]
bujne,2,['radość;smutek' 'wstręt;radość;smutek']
brzozowej,2,[]
brzozowa,2,[]
brodno,2,[]
brakujących,2,[]
botaniczny,2,[]
borowej,2,[]
bokserskiej,2,[]
biskupiej,2,[]
bielany,2,[]
biegowych,2,[]
biegowa,2,[]
białołęckiego,2,[]
bezpiecznej,2,[]
bezdomne,2,[]
bema,2,[]
bartoszewskiego,2,[]
baczynskiego,2,[]
autobusowej,2,[]
astronomiczna,2,['radość;smutek;złość;']
askańskiej,2,[]
anilany,2,[]
aluzyjnej,2,[]
alpejski,2,[]
aleksandrowskiej,2,[]
aktywnych,2,['radość;smutek' 'radość;smutek']
aktywnego,2,['radość;smutek' 'radość;smutek']
akacjowa,2,[]
abramowskiego,2,[]
żłobińskiej,1,[]
żywieckie,1,[]
żytomierskiej,1,[]
żydowscy,1,[]
żołnierską,1,"['radość;złość;wstręt;' 'zaufanie;smutek;złość;' 'zaufanie;smutek;złość;'
 'radość;zaufanie;złość;wstręt;']"
żoliborskich,1,[]
żoliborski,1,[]
żniński,1,[]
żmigrodzka,1,[]
żeńskim,1,[]
żeligowskiego,1,[]
żeglarskiej,1,[]
źródłowej,1,[]
źródłowa,1,[]
źródlana,1,[]
świętokrzyskie,1,[]
świętojańskim,1,[]
świętojańska,1,[]
świętej,1,['zaufanie;radość;smutek']
świętego,1,['zaufanie;radość;smutek']
świątecznej,1,[]
świąteczne,1,[]
świsłockiego,1,[]
świetną,1,[]
świetna,1,[]
świetlnego,1,[]
świetlne,1,[]
świerkową,1,[]
świdnickiej,1,[]
świadomego,1,['radość;smutek;' 'cieszenie się na coś oczekiwanego;smutek;strach;']
środowiskowych,1,[]
śmietankowych,1,[]
śmietankowe,1,[]
śmiertelnym,1,[]
śmieciomstop,1,[]
śląskiego,1,[]
śląskie,1,[]
śląski,1,[]
śledziona,1,[]
ścisłym,1,[]
ściekowej,1,[]
łąkowej,1,[]
łączna,1,[]
łódzkie,1,[]
łużyckaumultowska,1,[]
łowicka,1,[]
łomżyńskiego,1,[]
łokietka,1,[]
łazienkowskiej,1,[]
łatwych,1,['radość;smutek;złość;']
łatwy,1,['radość;smutek;złość;']
