bigram,likelihood_ratio
na terenie przy,742.5335403503165
na terenie Dzielnicy,742.2116493007388
na terenie za,742.114742865781
na terenie po,740.4199459633805
na terenie pomiędzy,740.1789304893996
na terenie dzielnicy,739.6365146079099
na terenie W,739.5793513021935
bezdomności zwierząt na,725.9298438374483
placu zabaw przy,714.6742049696635
Rozbudowa placu zabaw,712.5048970808659
na placu zabaw,711.8980843176346
budowa placu zabaw,710.9093171090219
ogrodzonego placu zabaw,710.6586172430624
Przebudowa placu zabaw,710.2320944742983
Modernizacja placu zabaw,709.1131167837398
istniejacego placu zabaw,706.8506387960878
Budowa placu zabaw,706.8045787840542
budową placu zabaw,705.135653263057
rewitalizacja placu zabaw,704.6001123608876
placu zabaw wśród,704.4814249402166
ekologicznego placu zabaw,703.9618212780622
istniejącego placu zabaw,703.9618212780622
Rewitalizacja placu zabaw,703.6588010236105
 placu zabaw,701.6335508003647
placu zabaw W,701.2006009318839
placu zabaw na,701.0543394925573
wokół placu zabaw,699.3149595498674
Ukończenie placu zabaw,698.3119094649472
drewnianego placu zabaw,698.3119094649472
integracyjnego placu zabaw,698.3119094649472
placu zabaw Ranczo.,698.3119094649472
placu zabaw wewnętrzny,698.3119094649472
przebudową placu zabaw,698.3119094649472
wyposazenia placu zabaw,698.3119094649472
placu zabaw ICH,695.5504881605
placu zabaw obejmująca,695.5504881605
Monitoring placu zabaw,695.5504881604999
budowę placu zabaw,695.5504881604999
infrastruktura placu zabaw,695.5504881604999
naturalnego placu zabaw,695.5504881604999
nowoczesnego placu zabaw,695.5504881604999
osłona placu zabaw,695.5504881604999
wysokosci placu zabaw,695.5504881604999
placu zabaw i,694.6339855045737
placu zabaw Rezerwat,694.5151596315217
likwidacja placu zabaw,694.5151596315216
ogólnodostępnego placu zabaw,694.5151596315216
nowym placu zabaw,693.846731583674
Podstawowej nr ,693.6264479672143
placu zabaw uzupelnienie,693.3525569453554
urzadzen placu zabaw,693.3525569453554
do placu zabaw,692.9073059303503
Wyposazenie placu zabaw,692.6372906274046
czesci placu zabaw,692.6372906274046
miejskiego placu zabaw,692.3617659659664
i placu zabaw,691.9688616566593
placu zabaw oraz,691.3771577857514
obok placu zabaw,691.2521905457363
Oświetlenie placu zabaw,690.777672337633
przy placu zabaw,690.7571520243575
Remont placu zabaw,690.1828141951613
placu zabaw Zagospodarowanie,689.6099443263333
placu zabaw ,688.7089524590464
 czyli działamy,679.8266129451437
dla ptaków ,678.1325316627942
lęgowe dla ptaków,639.4212451671038
zabaw w parku,633.0075069618051
Ograniczenie bezdomności zwierząt,594.9696687722825
w parku im.,591.3251118379483
dla ptaków i,588.2818172626022
zabaw w Parku,572.1425592734838
Przedszkola nr ,571.2920222861777
lęgowych dla ptaków,569.7571093872921
Wybieg dla psów.,569.0053461823384
domków dla ptaków,566.4601354806298
rzecz ptasiej społeczności.,564.3545686480934
 Ograniczanie bezdomności,560.7435839488102
Budki dla ptaków,559.2491747986517
budek dla ptaków,554.6210290530784
alejek w parku,554.1198710811747
ligowe dla ptaków,551.2917512234145
ptasiej społeczności Bałuty,550.7565932524394
Zapobieganie bezdomności zwierząt,550.6517053942924
budki dla ptaków,550.2320409138604
dla ptaków w,548.3066834359342
ptaków  czyli,547.712176397276
podiel dla ptaków,546.8881142854286
Woda dla ptaków,545.6221719331127
Catering w Parku,545.4830621111357
Wybieg dla Psów,544.7630558129872
w parku pomiędzy,544.3949427979601
Wybieg dla małych,542.0110456671371
dla ptaków owadożernych,540.212518099315
Wybieg dla czworonogów,539.8459348223698
w parku przy,539.5878756144393
dla ptaków Las,537.193762792217
dla ptaków oraz,536.9659979066428
Teobald w parku,536.8243004633919
w parku leśnym,536.8243004633919
wodę dla ptaków,536.4326409943352
pitnej w parku,535.4300540276683
Tratwy dla ptaków,534.762324018775
Uczta dla ptaków,534.762324018775
Wieza dla ptaków,534.762324018775
dla ptaków Magiczne,534.762324018775
dla ptaków Miasteczko,534.762324018775
dla ptaków Rembertowski,534.762324018775
dla ptaków róznego,534.762324018775
dla ptaków zimujących,534.762324018775
dla ptaków śpiewających.,534.762324018775
karma dla ptaków,534.762324018775
niedostępne dla ptaków,534.762324018775
pokarm dla ptaków,534.762324018775
widoczne dla ptaków,534.762324018775
dla ptaków domki,534.7457576692372
ptasiej społeczności Teofilów,532.6933017250175
ptasiej społeczności ŚródmieścieWschód.,532.6933017250175
Wieża dla ptaków,532.0290040563416
dla ptaków mieszanka,532.0290040563416
karmników dla ptaków,532.0290040563416
dla ptaków przy,531.7141068688828
dla ptaków W,531.1492987939429
dla ptaków Jaśniej,531.0217777352988
dla ptaków na,531.0193734720111
ptasiej społeczności Andrzej.,529.9230267959789
ptasiej społeczności Chojny.,529.9230267959789
ptasiej społeczności ChojnyDąbrowa.,529.9230267959789
ptasiej społeczności Górniak.,529.9230267959789
ptasiej społeczności JulianówMarysinRogi.,529.9230267959789
ptasiej społeczności Katedralna.,529.9230267959789
ptasiej społeczności Kominy.,529.9230267959789
ptasiej społeczności Mieszki.,529.9230267959789
ptasiej społeczności Nowosolna.,529.9230267959789
ptasiej społeczności OlechówJanów.,529.9230267959789
ptasiej społeczności PiastówKurak.,529.9230267959789
ptasiej społeczności Radogoszcz.,529.9230267959789
ptasiej społeczności Rokicie.,529.9230267959789
ptasiej społeczności Ruda.,529.9230267959789
ptasiej społeczności StokiSikawaPodgórze.,529.9230267959789
ptasiej społeczności Wzniesień,529.9230267959789
ptasiej społeczności Złoto.,529.9230267959789
ptasiej społeczności Łagiewniki.,529.9230267959789
dla ptaków Ochrona,529.791182360427
dla ptaków Kwiaty,529.4814727593821
krzewy dla ptaków,529.4052173566079
w parku Poniatowskiego.,529.3462073187707
dla ptaków Wybieg,529.2961564134716
dla ptaków jerzyków,529.256326223189
ptasiej społeczności Karolew,528.878844372094
ptasiej społeczności Widzew,528.878844372094
ptasiej społeczności Wiskitno.,528.878844372094
ptasiej społeczności Zarzew.,528.878844372094
w parku miejskim,528.4177762500663
ptasiej społeczności Stary,528.2015621590165
ptasiej społeczności Zdrowie,528.2015621590165
nr  w,527.7176349069266
ptasiej społeczności Retkinia,527.6985330851224
dzieci w parku,527.5857818573052
ławek w parku,527.4630327362631
ptasiej społeczności Dolina,526.9655570849684
ptasiej społeczności Nr,526.9655570849684
ptasiej społeczności Osiedle,526.6811771768289
ptasiej społeczności Stare,526.6811771768289
dla ptaków Zieleń,526.0245396134744
w parku Sielanka.,525.7109025957657
w Parku im.,525.4892260589476
dla ptaków czyli,525.4001979827864
ptasiej społeczności Nad,525.3778004380745
solankowa w parku,525.3129612662424
Filmowych w parku,525.1836997995968
Joga w parku,525.1836997995968
fontanny w parku,525.1836997995968
w parku linearnym,525.1836997995968
w parku Źródliska.,525.1836997995968
w parku Nad,523.4581481186812
Wolności Wybieg dla,522.995900743342
w parku Edwarda,522.2928490728995
amfiteatru w parku,521.4145881219629
w parku Korotyńskiego,521.4145881219629
 Wybieg dla,520.382062053086
Fontanna Wybieg dla,519.7977712119107
Głębokie Wybieg dla,519.7977712119107
Jagodowe Wybieg dla,519.7977712119107
Marcinkowskiego Wybieg dla,519.7977712119107
Międzylesiu Wybieg dla,519.7977712119107
Międzynarodowa Wybieg dla,519.7977712119107
Napoleona Wybieg dla,519.7977712119107
SREBRNEJ Wybieg dla,519.7977712119107
Schulza Wybieg dla,519.7977712119107
Szeptyckiego Wybieg dla,519.7977712119107
Turzyn Wybieg dla,519.7977712119107
V. Wybieg dla,519.7977712119107
Wolny Wybieg dla,519.7977712119107
Wybieg dla pupili,519.7977712119107
bajka Wybieg dla,519.7977712119107
cukiernia Wybieg dla,519.7977712119107
edukacyjną Wybieg dla,519.7977712119107
ekologicznym Wybieg dla,519.7977712119107
"rekreacji
		 Wybieg dla",519.7977712119107
łapy. Wybieg dla,519.7977712119107
w parku na,519.2878000871549
psów w parku,519.2083058434544
P Wybieg dla,519.0745027648107
Leżaki w parku,518.7725114599456
kultura w parku,518.7725114599456
w parku Czachówek,518.7725114599456
w parku Magicznym,518.7725114599456
latarni w parku,518.6035077454185
w parku Górczewska,518.6035077454184
w parku Wodziczki,518.5237373952654
nr  na,517.5569032021293
w parku nad,517.119235767322
rekreacyjne w parku,517.094302255427
Wybieg dla szczeniąt,517.0632104199339
Źródliska. Wybieg dla,517.0632104199339
Legionów. Wybieg dla,516.054743230862
Maja. Wybieg dla,516.054743230862
Przyrody Wybieg dla,516.054743230862
eksperyment Wybieg dla,516.054743230862
kontynuacja. Wybieg dla,516.054743230862
psiaków Wybieg dla,516.054743230862
Cisowa Wybieg dla,515.413177350398
Śródmieście Wybieg dla,515.413177350398
w parku Uljanowskim.,515.0033997823116
Zdrowiu. Wybieg dla,514.9458657069974
Jasieniem. Wybieg dla,514.5811880394085
Miasto Wybieg dla,514.5811880394085
Mokotowa Wybieg dla,514.5811880394085
Społeczny Wybieg dla,514.5811880394085
. Wybieg dla,514.5763465400508
w parku ,514.4782207637049
II. Wybieg dla,514.2843278616809
Maksymiliana Wybieg dla,514.2843278616809
Południe Wybieg dla,514.2843278616809
Szkoła Wybieg dla,514.035668678058
roku Wybieg dla,513.8230496420516
psów. Wybieg dla,513.6384051771386
Cyganie w parku,513.5634467982132
Doły w parku,513.5634467982132
Miasto. w parku,513.5634467982132
Pająk w parku,513.5634467982132
biegaczy w parku,513.5634467982132
brukową w parku,513.5634467982132
czytelniczy w parku,513.5634467982132
deptak w parku,513.5634467982132
grilowania w parku,513.5634467982132
koncertowej w parku,513.5634467982132
letni w parku,513.5634467982132
ogólnorozwojowe w parku,513.5634467982132
pieszobiegowej w parku,513.5634467982132
pupili w parku,513.5634467982132
rowerowego w parku,513.5634467982132
sprawnościowego w parku,513.5634467982132
w parku Aleksandry,513.5634467982132
w parku Biskupiński,513.5634467982132
w parku Henrykowskie,513.5634467982132
w parku Malickiego,513.5634467982132
w parku Matka,513.5634467982132
w parku Moczydło,513.5634467982132
w parku Picassa.,513.5634467982132
w parku Szczęśliwickim,513.5634467982132
w parku Wielkopolskim,513.5634467982132
w parku Wodzowskim,513.5634467982132
w parku angielskim,513.5634467982132
w parku im.Reymonta.,513.5634467982132
w parku ks.Jasińskiego,513.5634467982132
w parku miejskim.,513.5634467982132
